videoWebUrl,submittedVideoUrl,input,cid,createTime,createTimeISO,text,diggCount,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,uid,uniqueId,avatarThumbnail,mentions,detailedMentions
https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,7533288138723607312,1753980476,2025-07-31T16:47:56.000Z,Pov:Sisa Saldo 300K Jadi 24Jt 🥰😜,401,False,False,,31.0,7525147776825771024,indonesiajayajaya1945,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/c0b1bf6505e0f5c881567ab97da73647~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b0ea5f4f&x-expires=1754067600&x-signature=ggUOmYmxtHSBVs6%2FgNPjWosWRLA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,7533284168677180178,1753979412,2025-07-31T16:30:12.000Z,"ini baru negarawan yg dikenang sepanjang hayatnya, jangan menghukum org yg tidak bersalah🥰💕🙏",5,False,False,,0.0,6994414339000468507,fakhrullfakhrul1,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7325808662113419285~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3b9d3e9e&x-expires=1754067600&x-signature=PQEzDaE8qr8oGxgYjlgjZd7VXYg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,7533286662353830674,1753979989,2025-07-31T16:39:49.000Z,Terlalu dengerin rakyat itu juga ga baik,5,False,False,,7.0,6909739039784453121,tashoora.1,https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/eff2b570495bae0442a61c1d64a64e9b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3ffddc32&x-expires=1754067600&x-signature=nhPtMO8zsOUhoC0r6NYy0NGO3LU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,7533284894068474642,1753979576,2025-07-31T16:32:56.000Z,anchorrr dah anchorrr negara lawakk muluuu isinyaaa wkwkwk,9,False,False,,0.0,6859350270117184513,fauzimaul12,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/40bc90169f9d710e086ff7e2a59e4b2c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2968fb46&x-expires=1754067600&x-signature=uFqhMcPXN%2B%2BmrSXkchiow7Vvmh0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,7533285287309394708,1753979668,2025-07-31T16:34:28.000Z,biar dikira super hero...,49,False,False,,3.0,7170236747779179521,hamidjoxker,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/26f159fa7b0af37b59c586abc373f10e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=35e06703&x-expires=1754067600&x-signature=wAAN6uCBJrkk6Ov37Wrp8WzpZAg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,7533295403568268040,1753982022,2025-07-31T17:13:42.000Z,"abolisi sangat pantas untuk tom Lembong, usut hakim yg memutuskan dan para jaksa yg menuntut, kasus pesanan jokowi",31,False,False,,1.0,6989064971377509377,masrulyroi,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/0dafbf66cdced356604ec355515eb49a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1a53ebed&x-expires=1754067600&x-signature=qpDZZqBV0akjQB1bZl%2Bp%2BMGKVnM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,7533292149270709010,1753981265,2025-07-31T17:01:05.000Z,"yang menjadi pertanyaan 1116 orang siapa saja....?
jangan fokus ke Hasto & Tom lembong aja 🤣 apakah yang terjerat Kasus Korupsi semua..?",5,False,False,,0.0,7267439139993437189,aaqq1599,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/76771741dabc4df8598905937ec8110d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c22e81fc&x-expires=1754067600&x-signature=HSj%2FAKDsD3vA%2F0TvWqF8Yk9wHvk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,7533284183281992449,1753979416,2025-07-31T16:30:16.000Z,Harus dibentuk tim independen untuk memeriksa Jaksa dan hakim kasus ini.,25,False,False,,1.0,7199080007191610370,hugobozz2021,https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/d41fa831dd38708068f2c2dfb6e55df9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=23ed88f5&x-expires=1754067600&x-signature=jyEZbubv3NFY94h4VVk2%2BMDOlSQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,7533289913652937480,1753980748,2025-07-31T16:52:28.000Z,"harus di periksa hakim nya,,jangan2 kaya kasus2 hakim yg kena tangkap sebelumnya🤣🤣",7,False,False,,0.0,7162763075287827462,xcihapit_store,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/3b5733020eaa1f2974384dcd1850d4ed~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9f122eb0&x-expires=1754067600&x-signature=Bskc26SvZch4ATViw9IHWEslBIA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,7533282237120119553,1753979114,2025-07-31T16:25:14.000Z,"hancur hukum negeri ini dpimpin org yg salah, ada udang dibalik batu pemimpin yg sekarang, hukum tegas berlaku untuk rakyat kecil aja",43,False,False,,4.0,6767576763721106433,akhi_ato,https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/939c6f78d1c2c0b8c289ec337c254074~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0b07efe8&x-expires=1754067600&x-signature=U4CsnByjXh7YTU06TMh1iFelHmY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,7533295116002394887,1753981957,2025-07-31T17:12:37.000Z,"Sebagai masyarakat awam hanya bisa termenung, sering kali kasus2 besar booming di media dan proses peradilan nya yg di pertontonkan ke publik membuat publik jg bingung, tak tahu mana yg bekerja dgn benar💆‍♂️💆‍♂️",14,False,False,,2.0,6960657291897734150,putraasng02,https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/af8cb16bf670872f91ad7d70202c7d84~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cd8c6eaf&x-expires=1754067600&x-signature=tw5QM4eLHXgA9%2B9sistQmUm2%2F7g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,https://www.tiktok.com/@inilahcom/video/7533262209980452101,7533277404707930898,1753977838,2025-07-31T16:03:58.000Z,Wow jendral wowo jadi pahlawan di siang bolong🗿,8,False,False,,0.0,6570668154191609858,nazar_0106,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/6b2ffad77aa15bf2524ddcc40d26effa~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=42ec251a&x-expires=1754067600&x-signature=w0AU9tq6bql8CRWbDhD5g0pMUnA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
